Rank,User/TeamName,Affiliation/Org,Score
507,"huyvolqd2112","A.Y. Jackson Secondary School",400
508,"gcicyberteams.student8","GCICyberKnight",400
509,"VerNar","ARS Lions",400
510,"1henningnik","Craig Kielburger Secondary School Grade 11",400
511,"JerickD","John Polanyi Collegiate Institute",400
512,"swaggydepressoespresso","Aquinas 305",400
513,"batswag","Aquinas 305",400
514,"Niqabi1Princess","SLSS, Mississauga ON",400
515,"Sheefer","John Polanyi Collegiate Institute",400
516,"vkaveekaran","Cedarbrae CanHack 2019",400
517,"Apple Pages","Humberview CanHack Grade 10 2019",350
518,"esha17","Stephen Lewis Secondary School",350
519,"desolate","bhss",350
520,"The Knights Who Say Ni","ICS",350
521,"nlccdevil","O'gorman High",350
522,"TWong","St. Marcellinus",350
523,"partyh3ro","CSC ",350
524,"notgoodenough1","Keystone Computers",350
525,"DutchTheSwaggy","SAC CompEng",350
526,"Matcha0005","John Polanyi CI",350
527,"RollingThunder","sfsfs",350
528,"winners!","WOSS2019",350
529,"straightoutfromtokyo","Keystone Computers",350
530,"Software Club","Saint Brother Andre CHS",350
531,"XxMustafaxX","Craig Kielburger Secondary School Grade 11",350
532,"Universe 7","Humberview CanHack Grade 10 2019",300
533,"Faze Hax","Runnymede CI",300
534,"kugelblitz","Stephen Lewis SS",300
535,"alexICS","Malvern CI",300
536,"nalden04","CS 10",300
537,"TristanShmendez","Malvern",300
538,"Sombrero's","WOSS2019",300
539,"jatack22","CS 10",300
540,"jfrankfort","CS 10",300
541,"JinBoi","SislerHighSchool",300
542,"dope69","Keystone Computers",300
543,"(Insert Team Name Here)","Bill Crothers S.S.",300
544,"Viking Hacks","North Park Secondary School",300
545,"OFI","Humberview CanHack Grade 10 2019",250
546,"Team H3CK1NG K00L K1D5","TEJ10 Fall 2019",250
547,"Bining02","Humberview CanHack 2019",250
548,"beebuuba","A Y Jackson Secondary School",250
549,"BingBong","BHSS",250
550,"mrkedwell.student33","ICS",250
551,"Jasonsenethep","John Polanyi Collegiate Institute",250
552,"atihv112","Stephen Lewis Secondary School",250
553,"Slackers","Humberview CanHack 2019",250
554,"krish338","North Park",250
555,"SyphiN","TEJ10 Fall 2019",250
556,"jasonlee44","Upper Canada College",250
557,"btait.student12","Cedarbrae CanHack 2019",250
558,"karnie","ARS Lions",250
559,"butternutsquash","ARS Lions",250
560,"Edin0445","TEJ10 Fall 2019",250
561,"Lightbulb2003","Leaside",250
562,"Rickybobby0","SAC CompEng",250
563,"The Arch Angels ","Huntsville High School",250
564,"JSA12","Northern Secondary School",250
565,"rlam6760","John Polanyi",250
566,"LangstaffSS.student8","Programming Club",250
567,"Moonlight16","Keystone Computers",250
568,"peagin1","Keystone Computers",250
569,"bigboyhackers","conseil scolaire catholique providence",250
570,"doraemon23","Runnymede C.I Ontario ",250
571,"Providence123.student20","conseil scolaire catholique providence",250
572,"str8outtaCompLin","St brother Andre",250
573,"mathprincess03","brother andre",250
574,"slairu","Markville SS",200
575,"Spidey1277","Chinguacousy Secondary School",200
576,"portiavstheworld","Leaside High School",200
577,"EleftheriaPaps","Leaside High School",200
578,"Alexander19","Leaside",200
579,"Ani","ARS LIONS",200
580,"LermaANDdk","ARS Lions",200
581,"AnoushxJuliana","ARS Lions",200
582,"Lamdang55","Keystone Computers",200
583,"croville peons","Bill Crothers Secondary School",200
584,"Captiosus1","T.D. Baker",200
585,"gnarlydude231","UTS-1",150
586,"rufu","Crestwood Preparytory College",150
587,"Abdullah","SATEC @ W.A. PORTER",150
588,"Bulls Eye","SMT2019",150
589,"Mustang1.student16","Mustang1",150
590,"ArtVandelay","Clarkson Secondary School",150
591,"crystalmango","William Lyon Mackenzie",150
592,"DragosEscobar","CS 10",150
593,"TDHS2","ICS3U - TDHS",150
594,"TDHS1","TDHS",150
595,"ChowMing","Woburn CI",150
596,"chocolate","MCI",150
597,"ZhongGuo","Period 3",150
598,"Can'tHacks","Crescent School",150
599,"mrkedwell.student34","ICS",150
600,"Joshcj10","Fletcher's Meadow Secondary School",150
601,"csc","CSC ",150
602,"EPICSTUDENT123","CSC ",150
603,"sachs","Aquinas 305",150
604,"team red","Period1",150
605,"bio#1","West humber collegiate Instute",150
606,"btait.student8","Cedarbrae CanHack 2019",150
607,"btait.student7","Cedarbrae CanHack 2019",150
608,"btait.student2","Cedarbrae CanHack 2019",150
609,"daltouni","A.R.S. Lapoyan High-School",150
610,"adb111","Bell High School",150
611,"Crimson Raiders","Saint Malachys Memorial High School",150
612,"Ceduthebeast","michigan state",150
613,"Cromezz","St.Malachys",150
614,"stickykeys","Period 3",150
